Validation Fold,Set,Num_entries,Max_log10sigma,Min_log10sigma,Mean_log10sigma,Num_positive_samples,Num_negative_samples,Fraction_positive_samples
0,Train,394,-1.619788758,-30.56863624,-6.323654489527919,149,245,0.37817258883248733
0,Validation,99,-1.552841969,-22.40011693,-6.266466061282829,37,62,0.37373737373737376
1,Train,394,-1.552841969,-30.56863624,-6.333516911911167,149,245,0.37817258883248733
1,Validation,99,-1.619788758,-25.77989191,-6.227215612606061,37,62,0.37373737373737376
2,Train,394,-1.552841969,-25.77989191,-6.253234113071067,148,246,0.3756345177664975
2,Validation,99,-1.841637508,-30.56863624,-6.546724933242425,38,61,0.3838383838383838
3,Train,395,-1.552841969,-30.56863624,-6.289618684999999,149,246,0.37721518987341773
3,Validation,98,-1.764471553,-24.3990271,-6.403067636387754,37,61,0.37755102040816324
4,Train,395,-1.552841969,-30.56863624,-6.360761727777215,149,246,0.37721518987341773
4,Validation,98,-1.91721463,-19.74472749,-6.116317617030612,37,61,0.37755102040816324
