Validation Fold,Set,Num_entries,Max_log10sigma,Min_log10sigma,Mean_log10sigma,Num_positive_samples,Num_negative_samples,Fraction_positive_samples
0,Train,422,-1.552841969,-30.56863624,-6.536201008682464,152,270,0.36018957345971564
0,Validation,71,-2.8569852,-17.35951856,-4.980608215169014,34,37,0.4788732394366197
1,Train,410,-1.552841969,-25.82681373,-6.073552562587803,159,251,0.3878048780487805
1,Validation,83,-2.249491605,-30.56863624,-7.490885039518073,27,56,0.3253012048192771
2,Train,408,-1.552841969,-30.56863624,-5.8614805691985294,171,237,0.41911764705882354
2,Validation,85,-2.494850022,-25.77989191,-8.475481608329412,15,70,0.17647058823529413
3,Train,419,-1.721246399,-30.56863624,-6.5964550064391405,153,266,0.36515513126491644
3,Validation,74,-1.552841969,-14.00130484,-4.702504881662162,33,41,0.44594594594594594
4,Train,451,-1.552841969,-30.56863624,-6.173094783305987,172,279,0.38137472283813745
4,Validation,42,-2.832335369,-20.8068754,-7.805577658809525,14,28,0.3333333333333333
5,Train,475,-1.552841969,-30.56863624,-6.268768127557895,183,292,0.38526315789473686
5,Validation,18,-2.744727495,-17.00877392,-7.457508241722222,3,15,0.16666666666666666
6,Train,446,-1.552841969,-30.56863624,-6.436352384087444,166,280,0.3721973094170404
6,Validation,47,-1.721246399,-13.537602,-5.133762673148936,20,27,0.425531914893617
7,Train,457,-1.552841969,-30.56863624,-6.552957611450767,155,302,0.33916849015317285
7,Validation,36,-2.382999659,-9.256490235,-3.255510569666667,31,5,0.8611111111111112
8,Train,478,-1.552841969,-30.56863624,-6.337157631838912,182,296,0.3807531380753138
8,Validation,15,-2.962573502,-12.63827216,-5.515910728133333,4,11,0.26666666666666666
9,Train,471,-1.552841969,-30.56863624,-6.257030226320595,181,290,0.3842887473460722
9,Validation,22,-3.019088062,-25.82681373,-7.4926714701818184,5,17,0.22727272727272727
